成功的男人后面必有一个奉献的女人	成功的男人後面必有一個奉獻的女人
诗词曲语辞汇释	詩詞曲語辭匯釋
识时务者为俊杰	識時務者為俊傑
认知神经心里学	認知神經心裡學
计算机集成制造	計算機整合製造
解铃还须系铃人	解鈴還須繫鈴人
解铃还是系铃人	解鈴還是繫鈴人
解铃仍须系铃人	解鈴仍須繫鈴人
观光游憩性资源	觀光遊憩性資源
见了新人忘旧人	見了新人忘舊人
见了和尚骂贼秃	見了和尚罵賊禿
覆巢之下无完卵	覆巢之下無完卵
褶皱山系火地岛	褶皺山系火地島
融合式翼梢小翼	融合式翼梢小翼
虚拟通道标志符	虛擬通道標誌符
蒙古人民共和国	蒙古人民共和國
葫芦里卖甚么药	葫蘆裡賣甚麼藥
茄二十八星瓢虫	茄二十八星瓢蟲
英雄只怕病来磨	英雄只怕病來磨
苏里安提沙洛索	蘇里安提沙洛索
苏联最高苏维埃	蘇聯最高蘇維埃
苏格兰女王玛丽	蘇格蘭女王瑪麗
艾维斯普里斯莱	艾維斯普里斯萊
航空母舰战斗群	航空母艦戰鬥群
腰椎间盘突出症	腰椎間盤突出症
胜过一个诸葛亮	勝過一個諸葛亮
胜败乃兵家常事	勝敗乃兵家常事
胜负乃兵家常事	勝負乃兵家常事
胖姑娘坐小轿儿	胖姑娘坐小轎兒
肺炎克雷伯氏菌	肺炎克雷伯氏菌
肥水不过别人田	肥水不過別人田
股票投资获利率	股票投資獲利率
耳朵里冒出脚来	耳朵裡冒出腳來
老鸹窝里出凤凰	老鴰窩裡出鳳凰
老太婆的裹脚布	老太婆的裹腳布
翻把恩人当仇人	翻把恩人當仇人
翻手作云复手雨	翻手作雲覆手雨
美国标准交换码	美國標準交換碼
美国总统报复权	美國總統報復權
羊肉落在狗嘴里	羊肉落在狗嘴裡
羊毛出在羊身上	羊毛出在羊身上
置之死地而后生	置之死地而後生
罗密欧与茱丽叶	羅密歐與茱麗葉
罗密欧与朱丽叶	羅密歐與朱麗葉
综合业务数字网	綜合業務數字網
给个棒锤当针认	給個棒錘當針認
细雨蒙蒙忆当年	細雨濛濛憶當年
索尔兹伯里石环	索爾茲伯里石環
索尔兹伯里平原	索爾茲伯里平原
等效百万吨当量	等效百萬噸當量
符拉迪沃斯讬克	符拉迪沃斯託克
符拉迪沃斯托克	符拉迪沃斯託克
空气喷气发动机	空氣噴氣發動機
空中交通管制员	空中交通管制員
秤砣虽小压千斤	秤砣雖小壓千斤
科罗拉多大峡谷	科羅拉多大峽谷
科尔沁左翼后旗	科爾沁左翼後旗
科学技术现代化	科學技術現代化
破风筝抖起来了	破風箏抖起來了
破蒸笼只会撒气	破蒸籠只會撒氣
石油输出国组织	石油輸出國組織
矬子里头选将军	矬子裡頭選將軍
知人知面不知心	知人知面不知心
眼里揉不下沙子	眼裡揉不下沙子
眼泪往肚子里流	眼淚往肚子裡流
眉毛胡子一把抓	眉毛鬍子一把抓
直销式传销制度	直銷式傳銷制度
盎格鲁萨克逊人	盎格魯薩克遜人
皮尔斯布洛斯南	皮爾斯布洛斯南
皮划艇激流回旋	皮劃艇激流回旋
百万吨级核武器	百萬噸級核武器
白雪公主症候群	白雪公主症候群
电脑图书出版业	電腦圖書出版業
电缆调制解调器	電纜調變解調器
猫儿见了鱼鲜饭	貓兒見了魚鮮飯
猪八戒吃人参果	豬八戒吃人參果
独立国家联合体	獨立國家聯合體
狗嘴里还有象牙	狗嘴裡還有象牙
犹太复国主义者	猶太復國主義者
牵一发而动全身	牽一髮而動全身
爱之适足以害之	愛之適足以害之
煮熟的鸭子飞了	煮熟的鴨子飛了
然身死才数月耳	然身死才數月耳
焉耆回族自治县	焉耆回族自治縣
烦恼皆因强出头	煩惱皆因強出頭
满城尽带黄金甲	滿城盡帶黃金甲
涡轮喷气发动机	渦輪噴氣發動機
海湾合作理事会	海灣合作理事會
浪子回头金不换	浪子回頭金不換
济州特别自治道	濟州特別自治道
洋浦经济开发区	洋浦經濟開發區
河里孩儿岸上娘	河裡孩兒岸上孃
没个黑家白日的	沒個黑家白日的
汤姆索亚历险记	湯姆索亞歷險記
江南机器制造局	江南機器製造局
汉弥登钟表公司	漢彌登鐘錶公司
水流內布袋戏台	水流內布袋戲臺
毒药苦口利于病	毒藥苦口利於病
正电子发射层析	正電子發射層析
正电子发射体层	正電子發射體層
歇洛克福尔摩斯	歇洛克福爾摩斯
横眉冷对千夫指	橫眉冷對千夫指
模里西斯共和国	模里西斯共和國
梁山伯与祝英台	梁山伯與祝英臺
格林威治天文台	格林威治天文臺
树欲静而风不止	樹欲靜而風不止
树欲息而风不停	樹欲息而風不停
柳暗花明又一村	柳暗花明又一村
柏克里克千佛洞	柏克里克千佛洞
松桃苗族自治县	松桃苗族自治縣
杯底不可饲金鱼	杯底不可飼金魚
杭州萝卜绍兴种	杭州蘿蔔紹興種
本杰明富兰克林	本傑明富蘭克林
木里藏族自治县	木里藏族自治縣
有钱不买半年闲	有錢不買半年閒
有被种子植物纲	有被種子植物綱
有缘千里来相会	有緣千里來相會
有晚娘就有晚爷	有晚娘就有晚爺
有宝何必人前夸	有寶何必人前誇
有仇不报非君子	有仇不報非君子
曼苏尔．达杜拉	曼蘇爾．達杜拉
是非只为多开口	是非只為多開口
春宵一刻值千金	春宵一刻值千金
明中舍去暗中来	明中捨去暗中來
昌吉回族自治州	昌吉回族自治州
斯洛伐克共和国	斯洛伐克共和國
整合管理资讯化	整合管理資訊化
数据调制解调器	資料調變解調器
敦克尔克大撤退	敦克爾克大撤退
敏于事而慎于言	敏於事而慎於言
放射性发光材料	放射性發光材料
放之四海而皆准	放之四海而皆準
放一百二十个心	放一百二十個心
摊薄后每股盈利	攤薄後每股盈利
推倒了油瓶不扶	推倒了油瓶不扶
换算无收获面积	換算無收穫面積
挑得篮里便是菜	挑得籃裡便是菜
拿着鸡毛当令箭	拿著雞毛當令箭
拨接式数据通信	撥接式資料通訊
拨开云雾见青天	撥開雲霧見青天
拔了萝卜地皮宽	拔了蘿蔔地皮寬
拒人于千里之外	拒人於千里之外
打老鼠伤了玉瓶	打老鼠傷了玉瓶
打狗不看主人面	打狗不看主人面
打开板壁讲亮话	開啟板壁講亮話
打墙板儿翻上下	打牆板兒翻上下
打了个落花流水	打了個落花流水
才可容颜十五余	才可容顏十五餘
房地产共同基金	房地產共同基金
戴姆勒克莱斯勒	戴姆勒克萊斯勒
情人眼里有西施	情人眼裡有西施
情人眼里出西施	情人眼裡出西施
恶人自有恶人磨	惡人自有惡人磨
急水也有回头浪	急水也有回頭浪
心有余而力不足	心有餘而力不足
德意志关税同盟	德意志關稅同盟
德国统一社会党	德國統一社會黨
得放手时须放手	得放手時須放手
当面银子对面钱	當面銀子對面錢
当家方知柴米贵	當家方知柴米貴
当家才知柴米价	當家才知柴米價
当家三年狗也嫌	當家三年狗也嫌
开放性医疗制度	開放性醫療制度
应收帐款周转率	應收帳款週轉率
库木吐拉千佛洞	庫木吐拉千佛洞
幸福女人小公主	幸福女人小公主
幸于始者怠于终	幸於始者怠於終
布里斯托尔海峡	布里斯托爾海峽
布拉马普得拉河	布拉馬普得拉河
布宜诺斯艾利斯	布宜諾斯艾利斯
布列兹涅夫主义	布列茲涅夫主義
布兰妮斯皮尔斯	布蘭妮斯皮爾斯
巴贝西亚原虫病	巴貝西亞原蟲病
巴布亚纽几内亚	巴布亞紐幾內亞
巴布亚纽几內亚	巴布亞紐幾內亞
巴布亚新几内亚	巴布亞紐幾內亞
巴尔贝里尼宫殿	巴爾貝里尼宮殿
山雨欲来风满楼	山雨欲來風滿樓
山地管制游览区	山地管制遊覽區
寿险责任准备金	壽險責任準備金
官不怕大只怕管	官不怕大只怕管
安提瓜和巴布达	安地卡及巴布達
安地卡及巴布达	安地卡及巴布達
宁夏回族自治区	寧夏回族自治區
孟村回族自治县	孟村回族自治縣
子宫內膜异位症	子宮內膜異位症
婴儿猝死综合症	嬰兒猝死綜合症
婴儿猝死症候群	嬰兒猝死症候群
如入宝山空手回	如入寶山空手回
好话当作耳边风	好話當作耳邊風
好汉只怕病来磨	好漢只怕病來磨
好汉做事好汉当	好漢做事好漢當
好汉不论出身低	好漢不論出身低
好汉不怕出身低	好漢不怕出身低
奶妈怀里的孩子	奶媽懷裡的孩子
奥林匹克运动会	奧林匹克運動會
奥林匹克体育场	奧林匹克體育場
头发胡子一把抓	頭髮鬍子一把抓
太阳微系统公司	太陽微系統公司
太平洋联合铁路	太平洋聯合鐵路
天冬苯丙二肽酯	天冬苯丙二肽酯
大象口里拔生牙	大象口裡拔生牙
大角度俯冲轰炸	大角度俯衝轟炸
大脑出血性中风	大腦出血性中風
大水冲倒龙王殿	大水沖倒龍王殿
大水冲倒龙王庙	大水沖倒龍王廟
大山谷州立大学	大山谷州立大學
大厂回族自治县	大廠回族自治縣
多媒体简报系统	多媒體簡報系統
外屋里的灶君爷	外屋裡的灶君爺
外交关系理事会	外交關係理事會
夏虫不可以语冰	夏蟲不可以語冰
塞尔维亚民主党	塞爾維亞民主黨
塔克拉玛干沙漠	塔克拉瑪干沙漠
基里巴斯共和国	基裡巴斯共和國
基本多文种平面	基本多文種平面
培特曼赫鲁威克	培特曼赫魯威克
地老天荒不了情	地老天荒不了情
圣基茨和尼维斯	聖克里斯多福及尼維斯
国际足球联合会	國際足球聯合會
国际航空联合会	國際航空聯合會
国际标准化组织	國際標準化組織
国际先驱论坛报	國際先驅論壇報
国际体操联合会	國際體操聯合會
国立台湾图书馆	國立臺灣圖書館
国立台湾博物馆	國立臺灣博物館
国立历史博物馆	國立歷史博物館
国建学术联谊会	國建學術聯誼會
国家计划委员会	國家計劃委員會
国家旅游度假区	國家旅遊度假區
国家外汇管理局	國家外匯管理局
国家发展改革委	國家發展改革委
四库禁毁书丛刋	四庫禁燬書叢刋
噶拉多杰仁波切	噶拉多傑仁波切
哪里摔倒哪里爬	哪裡摔倒哪裡爬
咬折丁子的老婆	咬折丁子的老婆
吾为之范我驰驱	吾為之範我馳驅
听不得一面之词	聽不得一面之詞
君子言先不言后	君子言先不言後
后续的解释过程	後續的解釋過程
同步辐射加速器	同步輻射加速器
同是天涯沦落人	同是天涯淪落人
吊死鬼的裹脚布	吊死鬼的裹腳布
吉里巴斯共和国	吉里巴斯共和國
吉伯特氏症候群	吉伯特氏症候群
吃亏就是占便宜	吃虧就是佔便宜
右分枝关系从句	右分枝關係從句
叱咤叱咤叱咤咤	叱吒叱吒叱吒吒
台湾新美术运动	臺灣新美術運動
台湾世界展望会	臺灣世界展望會
叮叮当当的婆娘	叮叮噹噹的婆娘
只重衣衫不重人	只重衣衫不重人
变异型克雅氏症	變異型克雅氏症
发乎情止乎礼义	發乎情止乎禮義
反酷刑折磨公约	反酷刑折磨公約
双语立体声系统	雙語立體聲系統
历史比较语言学	歷史比較語言學
南枝向火北枝寒	南枝向火北枝寒
卖金须向识金家	賣金須向識金家
卖盐的做雕銮匠	賣鹽的做雕鑾匠
卖油娘子水梳头	賣油娘子水梳頭
卖了儿子招女婿	賣了兒子招女婿
单核细胞增多症	單核細胞增多症
千鸟渊国家公墓	千鳥淵國家公墓
千里姻缘一线牵	千里姻緣一線牽
千年田地八百主	千年田地八百主
十里长亭无客走	十里長亭無客走
十谒朱门九不开	十謁朱門九不開
十五个吊桶打水	十五個吊桶打水
北京中医药大学	北京中醫藥大學
化隆回族自治县	化隆回族自治縣
劳工退休准备金	勞工退休準備金
加拿大铝业集团	加拿大鋁業集團
加勒比海共同体	加勒比海共同體
前词汇语音加工	前詞彙語音加工
刺激启动不同步	刺激啟動不同步
刮风下雪倒便宜	刮風下雪倒便宜
别日南鸿才北去	別日南鴻才北去
别人的肉偎不热	別人的肉偎不熱
创伤后压力紊乱	創傷後壓力紊亂
分布式拒绝服务	分散式拒絕服務
分布式发展模型	分散式發展模型
出头椽儿先朽烂	出頭椽兒先朽爛
几家欢乐几家愁	幾家歡樂幾家愁
冷灰里爆出火来	冷灰裡爆出火來
冠状动脉硬化症	冠狀動脈硬化症
农产品平准基金	農產品平準基金
农业生产合作社	農業生產合作社
共产主义青年团	共產主義青年團
公门之中好修行	公門之中好修行
公公向孙子磕头	公公向孫子磕頭
八十天环游地球	八十天環遊地球
八位元个人电脑	八位元個人電腦
八仙桌上摆夜壶	八仙桌上擺夜壺
全彩干式印表机	全彩乾式印表機
全国不分区代表	全國不分割槽代表
克罗地亚共和国	克羅埃西亞共和國
偷得浮生半日闲	偷得浮生半日閒
假期忧郁症候群	假期憂鬱症候群
佛瑞斯特怀特克	佛瑞斯特懷特克
伸手不打笑面人	伸手不打笑面人
伯罗奔尼撒同盟	伯羅奔尼撒同盟
人如风后入江云	人如風後入江雲
人到中年万事休	人到中年萬事休
五百姻缘天注定	五百姻緣天註定
于斯纳尔斯贝里	于斯納爾斯貝里
于斯納爾斯貝里	于斯納爾斯貝里
书中自有千钟粟	書中自有千鍾粟
乌兹别克共和国	烏茲別克共和國
乌什塔拉回族乡	烏什塔拉回族鄉
临夏回族自治州	臨夏回族自治州
两个肩膀扛张嘴	兩個肩膀扛張嘴
两个或两个以上	兩個或兩個以上
上梁不正下梁歪	上樑不正下樑歪
万事皆从急中错	萬事皆從急中錯
万丈高楼平地起	萬丈高樓平地起
一身作事一身当	一身作事一身當
SQL注入攻击	SQL隱碼攻擊
龙无云而不行	龍無雲而不行
鼻子上挂鲞鱼	鼻子上掛鯗魚
黎明前的黑暗	黎明前的黑暗
黄州寒食诗卷	黃州寒食詩卷
麦克道格拉斯	麥克道格拉斯
鸦窝里出凤凰	鴉窩裡出鳳凰
鸡蛋里挑骨头	雞蛋裡挑骨頭
魏斯里史奈普	魏斯里史奈普
鬼迷了张天师	鬼迷了張天師
高能烈性炸药	高能烈性炸藥
高级管理人才	高階管理人才
高尔基复合体	高爾基複合體
